"uid","title","year","format","barcode","imdb_id","runtime","director","watched","poster_url","box_set","genre_ids","hidden","title_da","actors"
"1","Schindler's List","1993","DVD","5050582207774","tt0108052","187","Steven Spielberg","true","https://image.tmdb.org/t/p/w300/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg","","Drama|History|War","","Schindlers Liste","Liam Neeson|Ben Kingsley|Ralph Fiennes|Caroline Goodall|יהונתן סגל"
"2","Lawrence of Arabia","1962","Blu-ray","043396406964","tt0056172","227","David Lean","false","https://image.tmdb.org/t/p/w300/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg","","Adventure|History|War","","Lawrence af Arabien","Peter O'Toole|Alec Guinness|Omar Sharif|Anthony Quinn|Jack Hawkins"
"3","Ring 2","2005","DVD","5023965332929","tt0218553","110","Hideo Nakata","true","https://image.tmdb.org/t/p/w300/HREqYQWkGnH2viRQEXupCSX7ID.jpg","","Horror|Mystery|Sci-Fi","","Ringu 2","中谷美紀|佐藤仁美|深田恭子|小日向文世|石丸謙二郎"
"4","Die Hard 2","1990","DVD","5039036000307","tt0099423","118","Renny Harlin","true","https://image.tmdb.org/t/p/w300/ybki0UWO3OPhaM6MSniuKC7sy1R.jpg","","Action|Thriller","","Die Hard 2: Die Harder","Bruce Willis|Bonnie Bedelia|William Sadler|John Amos|Franco Nero"
"5","The Departed","2006","DVD","7321970132885","tt0407887","145","Martin Scorsese","true","https://image.tmdb.org/t/p/w300/nT97ifVT2J1yMQmeq20Qblg61T.jpg","","Drama|Thriller|Crime","","The Departed","Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg|Martin Sheen"
"6","George A. Romero's: Day Of The Dead","1985","DVD","5708758641357","tt0088993","97","George A. Romero","true","https://image.tmdb.org/t/p/w300/bi7SO5F4VyyGQTlxQirbH1dwKzW.jpg","","Horror|Drama|Mystery","","Day of the Dead","Lori Cardille|Terry Alexander|Joseph Pilato|Jarlath Conroy|Anthony DiLeo Jr."
"7","Your Name.","2016","Blu-ray","5705535059220","tt5311514","106","Makoto Shinkai","true","https://image.tmdb.org/t/p/w300/q719jXXEzOoYaps6babgKnONONX.jpg","","Animation|Romance|Drama","","Your Name","神木隆之介|上白石萌音|成田凌|悠木碧|島﨑信長"
"8","Sleepy Hollow","1999","DVD","7393805764769","tt0162661","101","Tim Burton","true","https://image.tmdb.org/t/p/w300/1GuK965FLJxqUw9fd1pmvjbFAlv.jpg","","Fantasy|Thriller|Mystery|Horror","","Sleepy Hollow","Johnny Depp|Christina Ricci|Miranda Richardson|Michael Gambon|Casper Van Dien"
"9","Den Sidste Kejser","1987","DVD","5709624003293","tt0093389","160","Bernardo Bertolucci","true","https://image.tmdb.org/t/p/w300/7TILJhdeJAaEyDiwvJZMo9SQBoe.jpg","","Drama|History","","Den sidste kejser","John Lone|Joan Chen|Peter O'Toole|Ruocheng Ying|Victor Wong"
"10","The Ladykillers","2004","DVD","7393834470907","tt0335245","100","Ethan Coen","true","https://image.tmdb.org/t/p/w300/l4g9R39NCp6VaYFrw6q8JwKNW9x.jpg","","Comedy|Crime|Thriller","","The Ladykillers","Tom Hanks|Irma P. Hall|Marlon Wayans|J.K. Simmons|Tzi Ma"
